route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
5198_117944,217,5198_249,Shaw street,23401,0,5198_7778195_9001010,5198_3
5198_117900,216,5198_2490,Talbot Street,12268,1,5198_7778195_6130004,5198_53
5198_117967,216,5198_24900,Southern Cross,12961,0,5198_7778195_1912015,5198_537
5198_117967,217,5198_24901,Southern Cross,21050,0,5198_7778195_1912015,5198_537
5198_117967,219,5198_24902,Southern Cross,7049,0,5198_7778195_1912008,5198_535
5198_117967,216,5198_24903,Southern Cross,12972,0,5198_7778195_1912017,5198_536
5198_117967,217,5198_24904,Southern Cross,21061,0,5198_7778195_1912017,5198_536
5198_117967,218,5198_24905,Southern Cross,740,0,5198_7778195_1912013,5198_537
5198_117967,219,5198_24906,Southern Cross,7169,0,5198_7778195_1912006,5198_535
5198_117967,217,5198_24907,Southern Cross,21070,0,5198_7778195_1912021,5198_536
5198_117967,218,5198_24908,Southern Cross,720,0,5198_7778195_1912005,5198_537
5198_117967,216,5198_24909,Southern Cross,12981,0,5198_7778195_1912021,5198_536
5198_117900,217,5198_2491,Talbot Street,20362,1,5198_7778195_6130005,5198_52
5198_117967,216,5198_24910,Southern Cross,12867,0,5198_7778195_1912001,5198_535
5198_117967,218,5198_24911,Southern Cross,727,0,5198_7778195_1912011,5198_536
5198_117967,217,5198_24912,Southern Cross,20956,0,5198_7778195_1912001,5198_535
5198_117967,219,5198_24913,Southern Cross,7062,0,5198_7778195_1912007,5198_537
5198_117967,219,5198_24914,Southern Cross,7157,0,5198_7778195_1912005,5198_535
5198_117967,218,5198_24915,Southern Cross,624,0,5198_7778195_1912007,5198_536
5198_117967,216,5198_24916,Southern Cross,12963,0,5198_7778195_1912015,5198_537
5198_117967,217,5198_24917,Southern Cross,21052,0,5198_7778195_1912015,5198_537
5198_117967,219,5198_24918,Southern Cross,7051,0,5198_7778195_1912008,5198_535
5198_117967,216,5198_24919,Southern Cross,12974,0,5198_7778195_1912017,5198_536
5198_117900,216,5198_2492,Talbot Street,12273,1,5198_7778195_6130005,5198_52
5198_117967,217,5198_24920,Southern Cross,21063,0,5198_7778195_1912017,5198_536
5198_117967,218,5198_24921,Southern Cross,742,0,5198_7778195_1912013,5198_537
5198_117967,217,5198_24922,Southern Cross,21072,0,5198_7778195_1912021,5198_535
5198_117967,216,5198_24923,Southern Cross,12983,0,5198_7778195_1912021,5198_535
5198_117967,216,5198_24924,Southern Cross,12869,0,5198_7778195_1912001,5198_535
5198_117967,218,5198_24925,Southern Cross,729,0,5198_7778195_1912011,5198_536
5198_117967,217,5198_24926,Southern Cross,20958,0,5198_7778195_1912001,5198_535
5198_117967,219,5198_24927,Southern Cross,7064,0,5198_7778195_1912007,5198_537
5198_117967,218,5198_24928,Cherrywood,671,1,5198_7778195_1912003,5198_538
5198_117967,216,5198_24929,Cherrywood,12852,1,5198_7778195_1912001,5198_539
5198_117900,218,5198_2493,Talbot Street,1218,1,5198_7778195_6130003,5198_52
5198_117967,217,5198_24930,Cherrywood,20941,1,5198_7778195_1912001,5198_539
5198_117967,216,5198_24931,Cherrywood,12903,1,5198_7778195_1912010,5198_538
5198_117967,217,5198_24932,Cherrywood,20992,1,5198_7778195_1912010,5198_538
5198_117967,218,5198_24933,Cherrywood,598,1,5198_7778195_1912001,5198_538
5198_117967,217,5198_24934,Cherrywood,20933,1,5198_7778195_1912004,5198_539
5198_117967,216,5198_24935,Cherrywood,12844,1,5198_7778195_1912004,5198_539
5198_117967,219,5198_24936,Cherrywood,7090,1,5198_7778195_1912002,5198_540
5198_117967,216,5198_24937,Cherrywood,12851,1,5198_7778195_1912008,5198_538
5198_117967,217,5198_24938,Cherrywood,20940,1,5198_7778195_1912008,5198_538
5198_117967,218,5198_24939,Cherrywood,673,1,5198_7778195_1912003,5198_538
5198_117900,217,5198_2494,Talbot Street,21094,1,5198_7778195_6130002,5198_52
5198_117967,216,5198_24940,Cherrywood,12854,1,5198_7778195_1912001,5198_539
5198_117967,217,5198_24941,Cherrywood,20943,1,5198_7778195_1912001,5198_539
5198_117967,219,5198_24942,Cherrywood,7066,1,5198_7778195_1912001,5198_540
5198_117967,216,5198_24943,Cherrywood,12905,1,5198_7778195_1912010,5198_538
5198_117967,217,5198_24944,Cherrywood,20994,1,5198_7778195_1912010,5198_538
5198_117967,218,5198_24945,Cherrywood,611,1,5198_7778195_1912007,5198_539
5198_117967,218,5198_24946,Cherrywood,600,1,5198_7778195_1912001,5198_538
5198_117967,217,5198_24947,Cherrywood,20935,1,5198_7778195_1912004,5198_539
5198_117967,216,5198_24948,Cherrywood,12846,1,5198_7778195_1912004,5198_539
5198_117967,219,5198_24949,Cherrywood,7092,1,5198_7778195_1912002,5198_540
5198_117900,216,5198_2495,Talbot Street,13005,1,5198_7778195_6130002,5198_52
5198_117967,219,5198_24950,Cherrywood,7158,1,5198_7778195_1912006,5198_538
5198_117967,218,5198_24951,Cherrywood,709,1,5198_7778195_1912005,5198_539
5198_117967,216,5198_24952,Cherrywood,17357,1,5198_7778195_1912002,5198_540
5198_117967,217,5198_24953,Cherrywood,25446,1,5198_7778195_1912002,5198_540
5198_117967,218,5198_24954,Cherrywood,675,1,5198_7778195_1912003,5198_538
5198_117967,216,5198_24955,Cherrywood,12856,1,5198_7778195_1912001,5198_539
5198_117967,217,5198_24956,Cherrywood,20945,1,5198_7778195_1912001,5198_539
5198_117967,219,5198_24957,Cherrywood,7068,1,5198_7778195_1912001,5198_540
5198_117967,216,5198_24958,Cherrywood,12907,1,5198_7778195_1912010,5198_538
5198_117967,219,5198_24959,Cherrywood,7146,1,5198_7778195_1912005,5198_539
5198_117900,219,5198_2496,Talbot Street,7516,1,5198_7778195_6130003,5198_52
5198_117967,217,5198_24960,Cherrywood,20996,1,5198_7778195_1912010,5198_538
5198_117967,218,5198_24961,Cherrywood,613,1,5198_7778195_1912007,5198_540
5198_117967,218,5198_24962,Cherrywood,602,1,5198_7778195_1912001,5198_538
5198_117967,217,5198_24963,Cherrywood,20937,1,5198_7778195_1912004,5198_539
5198_117967,216,5198_24964,Cherrywood,12848,1,5198_7778195_1912004,5198_539
5198_117967,219,5198_24965,Cherrywood,7094,1,5198_7778195_1912002,5198_540
5198_117967,219,5198_24966,Cherrywood,7160,1,5198_7778195_1912006,5198_538
5198_117967,218,5198_24967,Cherrywood,711,1,5198_7778195_1912005,5198_539
5198_117967,216,5198_24968,Cherrywood,17359,1,5198_7778195_1912002,5198_540
5198_117967,217,5198_24969,Cherrywood,25448,1,5198_7778195_1912002,5198_540
5198_117900,218,5198_2497,Talbot Street,1228,1,5198_7778195_6130002,5198_53
5198_117967,218,5198_24970,Cherrywood,677,1,5198_7778195_1912003,5198_538
5198_117967,216,5198_24971,Cherrywood,12858,1,5198_7778195_1912001,5198_539
5198_117967,217,5198_24972,Cherrywood,20947,1,5198_7778195_1912001,5198_539
5198_117967,219,5198_24973,Cherrywood,7053,1,5198_7778195_1912007,5198_540
5198_117967,219,5198_24974,Cherrywood,7148,1,5198_7778195_1912005,5198_538
5198_117967,218,5198_24975,Cherrywood,615,1,5198_7778195_1912007,5198_539
5198_117967,216,5198_24976,Cherrywood,12954,1,5198_7778195_1912015,5198_540
5198_117967,217,5198_24977,Cherrywood,21043,1,5198_7778195_1912015,5198_540
5198_117967,218,5198_24978,Cherrywood,604,1,5198_7778195_1912001,5198_538
5198_117967,216,5198_24979,Cherrywood,12965,1,5198_7778195_1912017,5198_539
5198_117900,217,5198_2498,Talbot Street,20197,1,5198_7778195_6130007,5198_52
5198_117967,217,5198_24980,Cherrywood,21054,1,5198_7778195_1912017,5198_539
5198_117967,219,5198_24981,Cherrywood,7096,1,5198_7778195_1912002,5198_540
5198_117967,219,5198_24982,Cherrywood,7162,1,5198_7778195_1912006,5198_538
5198_117967,218,5198_24983,Cherrywood,713,1,5198_7778195_1912005,5198_539
5198_117967,216,5198_24984,Cherrywood,17361,1,5198_7778195_1912002,5198_540
5198_117967,217,5198_24985,Cherrywood,25450,1,5198_7778195_1912002,5198_540
5198_117967,218,5198_24986,Cherrywood,679,1,5198_7778195_1912003,5198_538
5198_117967,216,5198_24987,Cherrywood,12860,1,5198_7778195_1912001,5198_539
5198_117967,217,5198_24988,Cherrywood,20949,1,5198_7778195_1912001,5198_539
5198_117967,219,5198_24989,Cherrywood,7055,1,5198_7778195_1912007,5198_540
5198_117900,216,5198_2499,Talbot Street,12108,1,5198_7778195_6130007,5198_52
5198_117967,219,5198_24990,Cherrywood,7150,1,5198_7778195_1912005,5198_538
5198_117967,218,5198_24991,Cherrywood,617,1,5198_7778195_1912007,5198_539
5198_117967,216,5198_24992,Cherrywood,12956,1,5198_7778195_1912015,5198_540
5198_117967,217,5198_24993,Cherrywood,21045,1,5198_7778195_1912015,5198_540
5198_117967,218,5198_24994,Cherrywood,606,1,5198_7778195_1912001,5198_538
5198_117967,216,5198_24995,Cherrywood,12967,1,5198_7778195_1912017,5198_539
5198_117967,217,5198_24996,Cherrywood,21056,1,5198_7778195_1912017,5198_539
5198_117967,219,5198_24997,Cherrywood,7098,1,5198_7778195_1912002,5198_540
5198_117967,219,5198_24998,Cherrywood,7164,1,5198_7778195_1912006,5198_538
5198_117967,218,5198_24999,Cherrywood,715,1,5198_7778195_1912005,5198_539
5198_117944,216,5198_25,Shaw street,15478,0,5198_7778195_9001003,5198_1
5198_117944,216,5198_250,Shaw street,15312,0,5198_7778195_9001010,5198_3
5198_117900,218,5198_2500,Talbot Street,1275,1,5198_7778195_6130005,5198_52
5198_117967,216,5198_25000,Cherrywood,17363,1,5198_7778195_1912002,5198_540
5198_117967,217,5198_25001,Cherrywood,25452,1,5198_7778195_1912002,5198_540
5198_117967,216,5198_25002,Cherrywood,12862,1,5198_7778195_1912001,5198_538
5198_117967,218,5198_25003,Cherrywood,722,1,5198_7778195_1912011,5198_539
5198_117967,217,5198_25004,Cherrywood,20951,1,5198_7778195_1912001,5198_538
5198_117967,219,5198_25005,Cherrywood,7057,1,5198_7778195_1912007,5198_540
5198_117967,219,5198_25006,Cherrywood,7152,1,5198_7778195_1912005,5198_538
5198_117967,218,5198_25007,Cherrywood,619,1,5198_7778195_1912007,5198_539
5198_117967,216,5198_25008,Cherrywood,12958,1,5198_7778195_1912015,5198_540
5198_117967,217,5198_25009,Cherrywood,21047,1,5198_7778195_1912015,5198_540
5198_117900,216,5198_2501,Talbot Street,12231,1,5198_7778195_6130008,5198_52
5198_117967,218,5198_25010,Cherrywood,608,1,5198_7778195_1912001,5198_538
5198_117967,216,5198_25011,Cherrywood,12969,1,5198_7778195_1912017,5198_539
5198_117967,217,5198_25012,Cherrywood,21058,1,5198_7778195_1912017,5198_539
5198_117967,219,5198_25013,Cherrywood,7100,1,5198_7778195_1912002,5198_540
5198_117967,219,5198_25014,Cherrywood,7166,1,5198_7778195_1912006,5198_538
5198_117967,217,5198_25015,Cherrywood,21067,1,5198_7778195_1912021,5198_539
5198_117967,218,5198_25016,Cherrywood,717,1,5198_7778195_1912005,5198_540
5198_117967,216,5198_25017,Cherrywood,12978,1,5198_7778195_1912021,5198_539
5198_117967,216,5198_25018,Cherrywood,12864,1,5198_7778195_1912001,5198_538
5198_117967,218,5198_25019,Cherrywood,724,1,5198_7778195_1912011,5198_539
5198_117900,217,5198_2502,Talbot Street,20320,1,5198_7778195_6130008,5198_52
5198_117967,217,5198_25020,Cherrywood,20953,1,5198_7778195_1912001,5198_538
5198_117967,219,5198_25021,Cherrywood,7059,1,5198_7778195_1912007,5198_540
5198_117967,219,5198_25022,Cherrywood,7154,1,5198_7778195_1912005,5198_538
5198_117967,218,5198_25023,Cherrywood,621,1,5198_7778195_1912007,5198_539
5198_117967,216,5198_25024,Cherrywood,12960,1,5198_7778195_1912015,5198_540
5198_117967,217,5198_25025,Cherrywood,21049,1,5198_7778195_1912015,5198_540
5198_117967,218,5198_25026,Cherrywood,610,1,5198_7778195_1912001,5198_538
5198_117967,216,5198_25027,Cherrywood,12971,1,5198_7778195_1912017,5198_539
5198_117967,217,5198_25028,Cherrywood,21060,1,5198_7778195_1912017,5198_539
5198_117967,219,5198_25029,Cherrywood,7102,1,5198_7778195_1912002,5198_540
5198_117900,216,5198_2503,Talbot Street,12131,1,5198_7778195_6130001,5198_52
5198_117967,219,5198_25030,Cherrywood,7168,1,5198_7778195_1912006,5198_538
5198_117967,217,5198_25031,Cherrywood,21069,1,5198_7778195_1912021,5198_539
5198_117967,218,5198_25032,Cherrywood,719,1,5198_7778195_1912005,5198_540
5198_117967,216,5198_25033,Cherrywood,12980,1,5198_7778195_1912021,5198_539
5198_117967,216,5198_25034,Cherrywood,12866,1,5198_7778195_1912001,5198_538
5198_117967,218,5198_25035,Cherrywood,726,1,5198_7778195_1912011,5198_539
5198_117967,217,5198_25036,Cherrywood,20955,1,5198_7778195_1912001,5198_538
5198_117967,219,5198_25037,Cherrywood,7061,1,5198_7778195_1912007,5198_540
5198_117967,219,5198_25038,Cherrywood,7156,1,5198_7778195_1912005,5198_538
5198_117967,218,5198_25039,Cherrywood,623,1,5198_7778195_1912007,5198_539
5198_117900,219,5198_2504,Talbot Street,7479,1,5198_7778195_6130002,5198_53
5198_117967,216,5198_25040,Cherrywood,12962,1,5198_7778195_1912015,5198_540
5198_117967,217,5198_25041,Cherrywood,21051,1,5198_7778195_1912015,5198_540
5198_117967,219,5198_25042,Cherrywood,7050,1,5198_7778195_1912008,5198_538
5198_117967,216,5198_25043,Cherrywood,12973,1,5198_7778195_1912017,5198_539
5198_117967,217,5198_25044,Cherrywood,21062,1,5198_7778195_1912017,5198_539
